RT	~	0.19889042995839112
@USER_44285fcc	@	0.0008145131432802667
:	~	0.17300046232085067
I	O	0.16328919002155837
see	V	0.007175650399591907
u	O	0.03455497382198953
Bron	^	0.0007099064214262666
...	,	0.039273177782366296
31	$	0.002633228840125392
right	R	0.00938348196975572
quick	A	0.0008067473414008068
@USER_a887f5eb	@	0.0008145131432802667
I	O	0.16328919002155837
am	V	0.004114946437680666
secure	A	0.0008067473414008068
.	,	0.19289696469130704
@USER_1d9aecf2	@	0.0008145131432802667
hahaaha	!	0.001110550227158001
!!	,	0.022754491017964073
i	O	0.03701878657222051
dont	V	0.004114946437680666
care	V	0.0017343989117497023
if	P	0.01556762348073442
she	O	0.009300893132121959
realises	V	0.00037408603978915156
i	O	0.03701878657222051
will	V	0.006495493963611631
be	V	0.019418466247236865
like	P	0.018670804241013708
shut	V	0.0007141642577792892
up	T	0.046964155084125825
teacher	N	0.000776483638380477
and	&	0.14669897032101756
go	V	0.007855806835572183
do	V	0.008876041489542595
your	D	0.019492322156063932
work	N	0.002625254205953041
!!	,	0.022754491017964073
hehe	!	0.002120141342756184
then	R	0.007832493214424195
i	O	0.03701878657222051
will	V	0.006495493963611631
be	V	0.019418466247236865
in	P	0.057977760537884664
trouble	N	0.000776483638380477
!!	,	0.022754491017964073
Getting	V	0.001054242475769427
insulation	N	0.00040672952486596416
put	V	0.004455024655670804
in	P	0.057977760537884664
attic	N	0.00040672952486596416
today	N	0.004104270660011093
.	,	0.19289696469130704
They	O	0.0025254080689867567
was	V	0.014317292977384799
sposed	A	0.0008067473414008068
2	P	0.0047064908197569175
be	V	0.019418466247236865
here	R	0.014036448235750293
at	P	0.033669511249030254
7:30	$	0.0013793103448275863
am	N	0.000776483638380477
,	,	0.09915341730332439
but	&	0.03646274984857662
got	V	0.011256589015473559
here	R	0.014036448235750293
at	P	0.033669511249030254
8:30	$	0.002633228840125392
!	,	0.103696056163535
Where	R	0.0039550213260953855
they	O	0.017924237757930398
do	V	0.008876041489542595
dat	D	0.002569727358194923
at	P	0.033669511249030254
?	,	0.05248812719388808
Andrew	^	0.0007099064214262666
McNulty	^	0.0007099064214262666
passes	V	0.00037408603978915156
to	P	0.1277993276441686
Connor	^	0.0007099064214262666
